CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 2654.515625 1738815982.4206
MEM 2655.640625 1738815982.5223
MEM 2656.640625 1738815982.6228
MEM 2657.890625 1738815982.7230
MEM 2658.765625 1738815982.8233
MEM 2660.015625 1738815982.9244
MEM 2660.765625 1738815983.0247
MEM 2661.015625 1738815983.1249
MEM 2661.890625 1738815983.2252
MEM 2662.390625 1738815983.3254
MEM 2663.515625 1738815983.4261
MEM 2664.640625 1738815983.5263
MEM 2665.640625 1738815983.6282
MEM 2666.765625 1738815983.7285
MEM 2667.515625 1738815983.8304
MEM 2668.765625 1738815983.9326
MEM 2669.515625 1738815984.0329
MEM 2670.390625 1738815984.1331
MEM 2671.265625 1738815984.2361
MEM 2672.015625 1738815984.3364
MEM 2672.265625 1738815984.4366
MEM 2672.265625 1738815984.5369
MEM 2672.515625 1738815984.6372
MEM 2672.515625 1738815984.7401
MEM 2672.515625 1738815984.8404
MEM 2672.765625 1738815984.9406
MEM 2672.765625 1738815985.0409
MEM 2673.015625 1738815985.1411
MEM 2673.015625 1738815985.2414
MEM 2673.140625 1738815985.3416
MEM 2673.265625 1738815985.4428
MEM 2673.265625 1738815985.5430
MEM 2673.390625 1738815985.6433
MEM 2673.390625 1738815985.7435
MEM 2673.515625 1738815985.8438
MEM 2673.515625 1738815985.9449
MEM 2673.890625 1738815986.0455
MEM 2674.140625 1738815986.1457
MEM 2674.765625 1738815986.2460
MEM 2675.765625 1738815986.3462
MEM 2676.890625 1738815986.4474
MEM 2678.015625 1738815986.5477
MEM 2679.015625 1738815986.6483
MEM 2680.265625 1738815986.7486
MEM 2681.265625 1738815986.8494
MEM 2682.390625 1738815986.9497
MEM 2683.140625 1738815987.0499
MEM 2684.140625 1738815987.1511
MEM 2684.640625 1738815987.2513
MEM 2685.640625 1738815987.3516
MEM 2686.640625 1738815987.4525
MEM 2687.515625 1738815987.5528
MEM 2688.765625 1738815987.6531
MEM 2689.765625 1738815987.7538
MEM 2690.765625 1738815987.8560
MEM 2691.890625 1738815987.9563
MEM 2692.515625 1738815988.0566
MEM 2693.515625 1738815988.1573
MEM 2694.265625 1738815988.2579
MEM 2695.265625 1738815988.3581
MEM 2696.265625 1738815988.4583
MEM 2697.265625 1738815988.5586
MEM 2698.390625 1738815988.6588
MEM 2699.390625 1738815988.7591
MEM 2700.515625 1738815988.8609
MEM 2701.515625 1738815988.9611
MEM 2702.015625 1738815989.0614
MEM 2703.140625 1738815989.1624
MEM 2703.640625 1738815989.2629
MEM 2704.640625 1738815989.3632
MEM 2705.515625 1738815989.4647
MEM 2705.640625 1738815989.5662
MEM 2705.890625 1738815989.6671
MEM 2705.890625 1738815989.7674
MEM 2706.015625 1738815989.8677
MEM 2706.015625 1738815989.9683
MEM 2706.265625 1738815990.0695
MEM 2706.265625 1738815990.1697
MEM 2706.515625 1738815990.2724
MEM 2706.515625 1738815990.3726
MEM 2706.765625 1738815990.4729
MEM 2706.765625 1738815990.5731
MEM 2707.015625 1738815990.6734
MEM 2707.140625 1738815990.7736
MEM 2707.140625 1738815990.8752
MEM 2707.390625 1738815990.9774
MEM 2707.390625 1738815991.0777
MEM 2707.640625 1738815991.1780
MEM 2707.640625 1738815991.2782
MEM 2708.390625 1738815991.3784
MEM 2709.515625 1738815991.4787
MEM 2710.265625 1738815991.5790
MEM 2711.390625 1738815991.6793
MEM 2712.390625 1738815991.7796
MEM 2713.640625 1738815991.8812
MEM 2714.640625 1738815991.9815
MEM 2715.390625 1738815992.0818
MEM 2716.390625 1738815992.1821
MEM 2717.140625 1738815992.2823
MEM 2717.765625 1738815992.3826
MEM 2718.765625 1738815992.4841
MEM 2719.765625 1738815992.5844
MEM 2720.765625 1738815992.6846
MEM 2721.890625 1738815992.7866
MEM 2722.890625 1738815992.8869
MEM 2723.890625 1738815992.9882
MEM 2724.265625 1738815993.0884
MEM 2725.265625 1738815993.1896
MEM 2726.015625 1738815993.2899
MEM 2727.015625 1738815993.3912
MEM 2728.015625 1738815993.4923
MEM 2729.015625 1738815993.5926
MEM 2730.140625 1738815993.6936
MEM 2731.265625 1738815993.7952
MEM 2732.390625 1738815993.8955
MEM 2733.390625 1738815993.9957
MEM 2734.140625 1738815994.0962
MEM 2735.140625 1738815994.1965
MEM 2735.890625 1738815994.2981
MEM 2736.515625 1738815994.3999
MEM 2737.015625 1738815994.5001
MEM 2737.265625 1738815994.6011
MEM 2737.265625 1738815994.7014
MEM 2737.265625 1738815994.8016
MEM 2737.265625 1738815994.9027
MEM 2737.515625 1738815995.0030
MEM 2737.515625 1738815995.1033
MEM 2737.515625 1738815995.2035
MEM 2737.640625 1738815995.3056
MEM 2737.640625 1738815995.4059
MEM 2737.640625 1738815995.5061
MEM 2737.765625 1738815995.6064
MEM 2737.765625 1738815995.7071
MEM 2737.765625 1738815995.8074
MEM 2737.765625 1738815995.9076
MEM 2737.765625 1738815996.0079
MEM 2737.765625 1738815996.1089
MEM 2737.765625 1738815996.2105
MEM 2738.015625 1738815996.3107
MEM 2738.140625 1738815996.4121
MEM 2738.140625 1738815996.5124
MEM 2738.140625 1738815996.6126
MEM 2738.140625 1738815996.7129
MEM 2738.140625 1738815996.8143
MEM 2738.140625 1738815996.9146
MEM 2738.140625 1738815997.0148
MEM 2738.140625 1738815997.1151
MEM 2738.140625 1738815997.2171
MEM 2738.140625 1738815997.3185
MEM 2746.140625 1738815997.4188
MEM 2746.265625 1738815997.5190
MEM 2746.265625 1738815997.6193
MEM 2746.265625 1738815997.7195
MEM 2754.390625 1738815997.8223
MEM 2754.390625 1738815997.9229
MEM 2754.390625 1738815998.0242
MEM 2754.390625 1738815998.1261
MEM 2762.390625 1738815998.2264
MEM 2762.390625 1738815998.3272
MEM 2762.515625 1738815998.4282
MEM 2762.515625 1738815998.5288
MEM 2770.515625 1738815998.6301
MEM 2770.640625 1738815998.7303
MEM 2770.640625 1738815998.8306
MEM 2770.640625 1738815998.9308
MEM 2770.640625 1738815999.0314
MEM 2778.765625 1738815999.1329
MEM 2778.765625 1738815999.2335
MEM 2778.765625 1738815999.3360
MEM 2778.765625 1738815999.4363
MEM 2778.765625 1738815999.5373
MEM 2786.890625 1738815999.6375
