CMDLINE /home/mamm/anaconda3/envs/agar/bin/python train_ppo.py
MEM 1430.812500 1738824025.3157
MEM 1430.812500 1738824025.4160
MEM 1430.812500 1738824025.5162
MEM 1430.812500 1738824025.6165
MEM 1430.812500 1738824025.7168
MEM 1430.812500 1738824025.8185
MEM 1430.812500 1738824025.9188
MEM 1430.812500 1738824026.0193
MEM 1430.812500 1738824026.1198
MEM 1430.812500 1738824026.2201
MEM 1430.812500 1738824026.3211
MEM 1430.812500 1738824026.4214
MEM 1430.812500 1738824026.5238
MEM 1430.812500 1738824026.6241
MEM 1430.812500 1738824026.7262
MEM 1430.812500 1738824026.8264
MEM 1430.812500 1738824026.9283
MEM 1430.812500 1738824027.0285
MEM 1430.812500 1738824027.1300
MEM 1430.812500 1738824027.2331
MEM 1430.812500 1738824027.3334
MEM 1430.812500 1738824027.4336
MEM 1454.562500 1738824027.5352
MEM 1430.914062 1738824027.6355
MEM 1430.867188 1738824027.7358
MEM 1430.867188 1738824027.8361
MEM 1430.867188 1738824027.9366
MEM 1430.867188 1738824028.0378
MEM 1430.867188 1738824028.1391
MEM 1430.867188 1738824028.2394
MEM 1430.867188 1738824028.3397
MEM 1430.867188 1738824028.4401
MEM 1430.867188 1738824028.5405
MEM 1430.867188 1738824028.6410
MEM 1430.867188 1738824028.7414
MEM 1430.867188 1738824028.8418
MEM 1430.867188 1738824028.9421
MEM 1430.867188 1738824029.0433
MEM 1430.867188 1738824029.1436
MEM 1430.867188 1738824029.2468
MEM 1430.867188 1738824029.3472
MEM 1430.867188 1738824029.4475
MEM 1430.867188 1738824029.5480
MEM 1430.867188 1738824029.6483
MEM 1430.867188 1738824029.7496
MEM 1430.867188 1738824029.8504
MEM 1430.867188 1738824029.9507
MEM 1430.867188 1738824030.0510
MEM 1430.867188 1738824030.1536
MEM 1430.867188 1738824030.2539
MEM 1430.867188 1738824030.3541
MEM 1430.867188 1738824030.4544
MEM 1430.867188 1738824030.5547
MEM 1430.867188 1738824030.6563
MEM 1430.867188 1738824030.7571
MEM 1430.867188 1738824030.8581
MEM 1430.867188 1738824030.9595
MEM 1430.867188 1738824031.0598
MEM 1430.867188 1738824031.1601
MEM 1430.867188 1738824031.2603
MEM 1430.867188 1738824031.3606
MEM 1430.867188 1738824031.4609
MEM 1440.363281 1738824031.5611
MEM 1500.746094 1738824031.6614
MEM 1430.949219 1738824031.7627
MEM 1430.949219 1738824031.8641
MEM 1430.949219 1738824031.9671
MEM 1430.949219 1738824032.0674
MEM 1430.949219 1738824032.1677
MEM 1430.949219 1738824032.2680
MEM 1430.949219 1738824032.3683
MEM 1430.949219 1738824032.4692
MEM 1430.949219 1738824032.5694
MEM 1430.949219 1738824032.6697
MEM 1430.949219 1738824032.7701
MEM 1430.949219 1738824032.8708
MEM 1430.949219 1738824032.9713
MEM 1430.949219 1738824033.0731
MEM 1430.949219 1738824033.1735
MEM 1430.949219 1738824033.2738
MEM 1430.949219 1738824033.3742
MEM 1430.949219 1738824033.4746
MEM 1430.949219 1738824033.5749
MEM 1430.949219 1738824033.6753
MEM 1430.949219 1738824033.7755
MEM 1430.949219 1738824033.8771
MEM 1430.949219 1738824033.9775
MEM 1430.949219 1738824034.0786
MEM 1430.949219 1738824034.1800
MEM 1430.949219 1738824034.2802
MEM 1430.949219 1738824034.3805
MEM 1430.949219 1738824034.4809
MEM 1430.949219 1738824034.5811
MEM 1430.949219 1738824034.6814
MEM 1444.824219 1738824034.7825
MEM 1452.199219 1738824034.8832
MEM 1459.449219 1738824034.9835
MEM 1466.699219 1738824035.0838
MEM 1473.949219 1738824035.1852
MEM 1481.324219 1738824035.2854
MEM 1488.574219 1738824035.3876
MEM 1496.574219 1738824035.4969
MEM 1430.835938 1738824035.5972
MEM 1439.460938 1738824035.6975
MEM 1448.210938 1738824035.7986
MEM 1457.210938 1738824035.9021
MEM 1473.460938 1738824036.0080
MEM 1482.210938 1738824036.1090
MEM 1490.960938 1738824036.2093
MEM 1498.960938 1738824036.3108
MEM 1430.718750 1738824036.4111
MEM 1440.468750 1738824036.5124
MEM 1490.718750 1738824036.6136
MEM 1430.929688 1738824036.7139
MEM 1430.929688 1738824036.8142
MEM 1430.929688 1738824036.9145
MEM 1430.929688 1738824037.0148
MEM 1430.929688 1738824037.1174
MEM 1430.929688 1738824037.2177
MEM 1430.929688 1738824037.3192
MEM 1430.929688 1738824037.4195
MEM 1430.929688 1738824037.5199
MEM 1430.929688 1738824037.6232
MEM 1430.929688 1738824037.7236
MEM 1430.929688 1738824037.8240
MEM 1430.929688 1738824037.9246
MEM 1430.929688 1738824038.0260
MEM 1430.929688 1738824038.1263
MEM 1430.929688 1738824038.2302
MEM 1430.929688 1738824038.3305
MEM 1430.929688 1738824038.4308
MEM 1430.929688 1738824038.5315
MEM 1430.929688 1738824038.6320
MEM 1430.929688 1738824038.7323
MEM 1430.929688 1738824038.8325
MEM 1430.929688 1738824038.9330
MEM 1430.929688 1738824039.0333
MEM 1430.929688 1738824039.1342
MEM 1430.929688 1738824039.2345
MEM 1430.929688 1738824039.3358
MEM 1430.929688 1738824039.4363
MEM 1430.929688 1738824039.5375
MEM 1430.929688 1738824039.6378
MEM 1479.878906 1738824039.7384
MEM 1465.457031 1738824039.8388
MEM 1430.957031 1738824039.9404
MEM 1430.957031 1738824040.0408
MEM 1430.957031 1738824040.1411
MEM 1430.957031 1738824040.2441
MEM 1430.957031 1738824040.3444
MEM 1430.957031 1738824040.4447
MEM 1430.957031 1738824040.5449
MEM 1430.957031 1738824040.6452
MEM 1430.957031 1738824040.7455
MEM 1430.957031 1738824040.8457
MEM 1430.957031 1738824040.9460
MEM 1430.957031 1738824041.0463
MEM 1430.957031 1738824041.1465
MEM 1430.957031 1738824041.2468
MEM 1430.957031 1738824041.3485
MEM 1430.957031 1738824041.4491
MEM 1430.957031 1738824041.5494
